Entity,Code,Year,reserves|Antimony|Mine|tonnes
Australia,AUS,2022,120000
Australia,AUS,2023,140000
Bolivia,BOL,2022,310000
Bolivia,BOL,2023,310000
Canada,CAN,2022,78000
Canada,CAN,2023,78000
China,CHN,2022,350000
China,CHN,2023,640000
Kyrgyzstan,KGZ,2022,260000
Kyrgyzstan,KGZ,2023,260000
Mexico,MEX,2022,18000
Mexico,MEX,2023,18000
Myanmar,MMR,2022,140000
Myanmar,MMR,2023,140000
Pakistan,PAK,2022,26000
Pakistan,PAK,2023,26000
Russia,RUS,2022,350000
Russia,RUS,2023,350000
Tajikistan,TJK,2022,50000
Tajikistan,TJK,2023,50000
Turkey,TUR,2022,100000
Turkey,TUR,2023,99000
United States,USA,2022,60000
United States,USA,2023,60000
