Entity,Code,Year,production|Antimony|Mine|tonnes
Australia,AUS,2020,3900
Australia,AUS,2021,4000
Australia,AUS,2022,2290
Australia,AUS,2023,2300
Bolivia,BOL,2020,2600
Bolivia,BOL,2021,2600
Bolivia,BOL,2022,3000
Bolivia,BOL,2023,3000
Canada,CAN,2020,2
Canada,CAN,2021,2
Canada,CAN,2022,2
Canada,CAN,2023,2
China,CHN,2020,61000
China,CHN,2021,61000
China,CHN,2022,40000
China,CHN,2023,40000
Guatemala,GTM,2020,80
Guatemala,GTM,2021,80
Guatemala,GTM,2022,24
Guatemala,GTM,2023,24
Iran,IRN,2020,400
Iran,IRN,2021,400
Iran,IRN,2022,500
Iran,IRN,2023,500
Kazakhstan,KAZ,2020,100
Kazakhstan,KAZ,2021,100
Kazakhstan,KAZ,2022,300
Kazakhstan,KAZ,2023,300
Kyrgyzstan,KGZ,2020,0
Kyrgyzstan,KGZ,2021,0
Kyrgyzstan,KGZ,2022,40
Kyrgyzstan,KGZ,2023,40
Laos,LAO,2022,220
Laos,LAO,2023,220
Mexico,MEX,2020,700
Mexico,MEX,2021,750
Mexico,MEX,2022,700
Mexico,MEX,2023,700
Myanmar,MMR,2020,2200
Myanmar,MMR,2021,4600
Myanmar,MMR,2022,4600
Myanmar,MMR,2023,4600
Pakistan,PAK,2020,17
Pakistan,PAK,2021,66
Pakistan,PAK,2022,79
Pakistan,PAK,2023,80
Russia,RUS,2020,25000
Russia,RUS,2021,20000
Russia,RUS,2022,4300
Russia,RUS,2023,4300
Tajikistan,TJK,2020,13000
Tajikistan,TJK,2021,16800
Tajikistan,TJK,2022,21000
Tajikistan,TJK,2023,21000
Turkey,TUR,2020,1330
Turkey,TUR,2021,1300
Turkey,TUR,2022,5800
Turkey,TUR,2023,6000
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
Vietnam,VNM,2020,390
Vietnam,VNM,2021,310
Vietnam,VNM,2022,250
Vietnam,VNM,2023,250
World,OWID_WRL,1900,7710
World,OWID_WRL,1901,7890
World,OWID_WRL,1902,8550
World,OWID_WRL,1903,8140
World,OWID_WRL,1904,8000
World,OWID_WRL,1905,8000
World,OWID_WRL,1906,14500
World,OWID_WRL,1907,15000
World,OWID_WRL,1908,16000
World,OWID_WRL,1909,15000
World,OWID_WRL,1910,15000
World,OWID_WRL,1911,15500
World,OWID_WRL,1912,24200
World,OWID_WRL,1913,24500
World,OWID_WRL,1914,23600
World,OWID_WRL,1915,43200
World,OWID_WRL,1916,81600
World,OWID_WRL,1917,57200
World,OWID_WRL,1918,30800
World,OWID_WRL,1919,11800
World,OWID_WRL,1920,29000
World,OWID_WRL,1921,18300
World,OWID_WRL,1922,18900
