Entity,Code,Year,production|Gallium|Refinery|tonnes
United States,USA,1948,0.09
United States,USA,1953,0.05
United States,USA,1954,0.05
United States,USA,1978,5.56
United States,USA,1979,2.6
United States,USA,1980,3
United States,USA,1981,1.45
United States,USA,1982,1.56
United States,USA,1983,0
United States,USA,1984,0
United States,USA,1985,0
United States,USA,1986,0.75
United States,USA,1988,0
United States,USA,1989,0
United States,USA,1990,0
United States,USA,1991,0
United States,USA,1992,0
United States,USA,1993,0
United States,USA,1994,0
United States,USA,1995,0
United States,USA,1996,0
United States,USA,1997,0
United States,USA,1998,0
United States,USA,1999,0
United States,USA,2000,0
United States,USA,2001,0
United States,USA,2002,0
United States,USA,2003,0
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
United States,USA,2008,0
United States,USA,2009,0
United States,USA,2010,0
United States,USA,2011,0
United States,USA,2012,0
United States,USA,2013,0
United States,USA,2014,0
United States,USA,2015,0
United States,USA,2016,0
United States,USA,2017,0
United States,USA,2018,0
United States,USA,2019,0
United States,USA,2020,0
United States,USA,2021,0
World,OWID_WRL,1973,16
World,OWID_WRL,1974,10
World,OWID_WRL,1975,11
World,OWID_WRL,1976,14
World,OWID_WRL,1977,12.4
World,OWID_WRL,1978,12.2
World,OWID_WRL,1979,12.1
World,OWID_WRL,1980,17.6
World,OWID_WRL,1981,18.7
World,OWID_WRL,1982,18.6
World,OWID_WRL,1983,25.4
World,OWID_WRL,1984,33.5
World,OWID_WRL,1985,36.1
World,OWID_WRL,1986,45.5
World,OWID_WRL,1987,38.7
World,OWID_WRL,1988,37
World,OWID_WRL,1989,40
World,OWID_WRL,1990,37
World,OWID_WRL,1991,43.1
World,OWID_WRL,1992,41
World,OWID_WRL,1993,51
World,OWID_WRL,1994,53
World,OWID_WRL,1995,61.5
World,OWID_WRL,1996,54
World,OWID_WRL,1997,74.5
World,OWID_WRL,1998,93.3
World,OWID_WRL,1999,75
World,OWID_WRL,2000,90
World,OWID_WRL,2001,81
World,OWID_WRL,2002,61
World,OWID_WRL,2003,70
World,OWID_WRL,2004,60
World,OWID_WRL,2005,69
World,OWID_WRL,2006,73
World,OWID_WRL,2007,95
World,OWID_WRL,2008,111
World,OWID_WRL,2009,79
World,OWID_WRL,2010,182
World,OWID_WRL,2011,292
World,OWID_WRL,2012,386
World,OWID_WRL,2013,369
World,OWID_WRL,2014,489
World,OWID_WRL,2015,473
World,OWID_WRL,2016,211
World,OWID_WRL,2017,336
World,OWID_WRL,2018,420
World,OWID_WRL,2019,351
World,OWID_WRL,2020,346
World,OWID_WRL,2021,434
