Entity,Code,Year,reserves|Chromium|Mine|tonnes
Finland,FIN,2022,8300000
Finland,FIN,2023,8300000
India,IND,2022,100000000
India,IND,2023,79000000
Kazakhstan,KAZ,2022,230000000
Kazakhstan,KAZ,2023,230000000
South Africa,ZAF,2022,200000000
South Africa,ZAF,2023,200000000
Turkey,TUR,2022,26000000
Turkey,TUR,2023,27000000
United States,USA,2022,630000
United States,USA,2023,630000
World,OWID_WRL,2022,560000000
World,OWID_WRL,2023,560000000
