Entity,Code,Year,"production|Titanium|Mine, rutile|tonnes"
Australia,AUS,1970,370867
Australia,AUS,1971,374705
Australia,AUS,1972,313139
Australia,AUS,1973,335231
Australia,AUS,1974,318702
Australia,AUS,1975,348350
Australia,AUS,1976,389750
Australia,AUS,1977,325281
Australia,AUS,1978,257075
Australia,AUS,1979,274533
Australia,AUS,1980,311744
Australia,AUS,1981,230817
Australia,AUS,1982,220697
Australia,AUS,1983,163374
Australia,AUS,1984,170424
Australia,AUS,1985,211615
Australia,AUS,1986,215774
Australia,AUS,1987,246263
Australia,AUS,1988,231000
Australia,AUS,1989,243000
Australia,AUS,1990,245000
Australia,AUS,1991,193000
Australia,AUS,1992,183000
Australia,AUS,1993,187000
Australia,AUS,1994,233000
Australia,AUS,1995,204000
Australia,AUS,1996,183000
Australia,AUS,1997,233000
Australia,AUS,1998,244000
Australia,AUS,1999,182000
Australia,AUS,2000,207000
Australia,AUS,2001,207000
Australia,AUS,2002,219000
Australia,AUS,2003,173000
Australia,AUS,2004,162000
Australia,AUS,2005,177000
Australia,AUS,2006,232000
Australia,AUS,2007,312000
Australia,AUS,2008,318000
Australia,AUS,2009,285000
Australia,AUS,2010,438000
Australia,AUS,2011,466700
Australia,AUS,2012,439600
Australia,AUS,2013,250400
Australia,AUS,2014,340700
Australia,AUS,2015,294600
Australia,AUS,2016,284772
Australia,AUS,2017,227462
Australia,AUS,2018,209762
Australia,AUS,2019,154507
Australia,AUS,2020,190000
Australia,AUS,2021,190000
Australia,AUS,2022,200000
Australia,AUS,2023,200000
Brazil,BRA,1970,1
Brazil,BRA,1972,316
Brazil,BRA,1973,178
Brazil,BRA,1974,146
Brazil,BRA,1975,104
Brazil,BRA,1976,51
Brazil,BRA,1977,128
Brazil,BRA,1978,365
Brazil,BRA,1979,439
Brazil,BRA,1980,428
Brazil,BRA,1981,205
Brazil,BRA,1982,234
Brazil,BRA,1983,1058
Brazil,BRA,1984,682
Brazil,BRA,1985,389
Brazil,BRA,1986,311
Brazil,BRA,1987,392
Brazil,BRA,1988,1514
Brazil,BRA,1989,2613
Brazil,BRA,1990,2350
Brazil,BRA,1991,1094
Brazil,BRA,1992,1826
Brazil,BRA,1993,1744
Brazil,BRA,1994,1911
Brazil,BRA,1995,1985
Brazil,BRA,1996,1771
Brazil,BRA,1997,2196
Brazil,BRA,1998,2323
Brazil,BRA,1999,3388
Brazil,BRA,2000,3162
Brazil,BRA,2001,2500
Brazil,BRA,2002,2645
Brazil,BRA,2003,2500
Brazil,BRA,2004,3000
Brazil,BRA,2005,2782
Brazil,BRA,2006,3000
Brazil,BRA,2007,3000
Brazil,BRA,2008,3000
Brazil,BRA,2009,3000
Brazil,BRA,2010,2331
Brazil,BRA,2011,2350
Brazil,BRA,2012,1881
Brazil,BRA,2013,2021
Brazil,BRA,2014,1834
India,IND,1970,2500
India,IND,1971,2900
India,IND,1972,3065
India,IND,1973,3400
India,IND,1974,5800
India,IND,1975,3600
India,IND,1976,7005
India,IND,1977,7058
India,IND,1978,7107
India,IND,1979,6642
India,IND,1980,7192
India,IND,1981,8752
India,IND,1982,7866
India,IND,1983,6715
India,IND,1984,6000
India,IND,1985,6800
India,IND,1986,7000
India,IND,1987,7000
India,IND,1988,9584
India,IND,1989,9931
India,IND,1990,11000
India,IND,1991,13635
India,IND,1992,10000
India,IND,1993,13900
India,IND,1994,13438
India,IND,1995,12963
India,IND,1996,9305
India,IND,1997,14365
India,IND,1998,16039
India,IND,1999,17505
India,IND,2000,18974
India,IND,2001,17817
India,IND,2002,14531
India,IND,2003,19646
India,IND,2004,19649
India,IND,2005,20299
India,IND,2006,16157
India,IND,2007,20518
India,IND,2008,19098
India,IND,2009,18573
India,IND,2010,26593
India,IND,2011,20225
India,IND,2012,16527
India,IND,2013,13459
India,IND,2014,15617
India,IND,2015,16723
India,IND,2016,14898
India,IND,2017,11829
India,IND,2018,11045
India,IND,2019,11000
India,IND,2020,11000
India,IND,2021,12000
India,IND,2022,13000
India,IND,2023,13000
Kenya,KEN,2010,0
Kenya,KEN,2011,0
Kenya,KEN,2012,0
Kenya,KEN,2013,0
Kenya,KEN,2014,52465
Kenya,KEN,2015,78947
Kenya,KEN,2016,69975
Kenya,KEN,2017,87167
Kenya,KEN,2018,98132
Kenya,KEN,2019,85796
Kenya,KEN,2020,73000
Kenya,KEN,2021,72000
Kenya,KEN,2022,73000
Kenya,KEN,2023,58000
Madagascar,MDG,2006,0
Madagascar,MDG,2007,0
Madagascar,MDG,2008,0
Madagascar,MDG,2009,3200
Madagascar,MDG,2010,5700
Madagascar,MDG,2011,9300
Madagascar,MDG,2012,11000
Madagascar,MDG,2013,12000
Madagascar,MDG,2014,6900
Madagascar,MDG,2015,4800
Madagascar,MDG,2016,5400
Madagascar,MDG,2017,8100
Madagascar,MDG,2018,5070
Madagascar,MDG,2019,5947
Madagascar,MDG,2020,8000
Madagascar,MDG,2021,0
Madagascar,MDG,2022,0
Madagascar,MDG,2023,0
Malaysia,MYS,2002,7059
Malaysia,MYS,2003,18472
Malaysia,MYS,2004,27308
Malaysia,MYS,2005,5509
Malaysia,MYS,2006,16921
Malaysia,MYS,2007,1450
Malaysia,MYS,2008,1834
Malaysia,MYS,2009,1502
Malaysia,MYS,2010,7567
Malaysia,MYS,2011,10810
Malaysia,MYS,2012,20008
Malaysia,MYS,2013,5983
Malaysia,MYS,2014,3069
Malaysia,MYS,2015,198
Malaysia,MYS,2016,3810
Malaysia,MYS,2017,5266
Malaysia,MYS,2018,5070
Malaysia,MYS,2019,5947
Malaysia,MYS,2020,5136
Malaysia,MYS,2021,11513
Malaysia,MYS,2022,8359
Mozambique,MOZ,2006,0
Mozambique,MOZ,2007,8782
Mozambique,MOZ,2008,6552
Mozambique,MOZ,2009,1800
Mozambique,MOZ,2010,4700
Mozambique,MOZ,2011,6500
Mozambique,MOZ,2012,5100
Mozambique,MOZ,2013,4000
Mozambique,MOZ,2014,6100
Mozambique,MOZ,2015,6000
Mozambique,MOZ,2016,7800
Mozambique,MOZ,2017,9133
Mozambique,MOZ,2018,8154
Mozambique,MOZ,2019,8278
Mozambique,MOZ,2020,6000
Mozambique,MOZ,2021,8000
Mozambique,MOZ,2022,8000
Mozambique,MOZ,2023,9000
Senegal,SEN,2010,0
Senegal,SEN,2020,9000
Senegal,SEN,2021,9000
Senegal,SEN,2022,9000
Senegal,SEN,2023,8000
Sierra Leone,SLE,1970,44056
Sierra Leone,SLE,1971,11932
Sierra Leone,SLE,1976,0
Sierra Leone,SLE,1977,0
Sierra Leone,SLE,1978,0
Sierra Leone,SLE,1979,7500
Sierra Leone,SLE,1980,45440
Sierra Leone,SLE,1983,71801
Sierra Leone,SLE,1984,91289
Sierra Leone,SLE,1985,80611
Sierra Leone,SLE,1986,97101
Sierra Leone,SLE,1987,113111
Sierra Leone,SLE,1988,126332
Sierra Leone,SLE,1989,128198
Sierra Leone,SLE,1990,144401
Sierra Leone,SLE,1991,154800
Sierra Leone,SLE,1992,149000
Sierra Leone,SLE,1993,150332
Sierra Leone,SLE,1994,144312
Sierra Leone,SLE,1998,0
Sierra Leone,SLE,1999,0
Sierra Leone,SLE,2000,0
Sierra Leone,SLE,2001,0
Sierra Leone,SLE,2002,0
Sierra Leone,SLE,2003,0
Sierra Leone,SLE,2004,0
Sierra Leone,SLE,2005,0
Sierra Leone,SLE,2006,73600
Sierra Leone,SLE,2007,82805
Sierra Leone,SLE,2008,78910
Sierra Leone,SLE,2009,63860
Sierra Leone,SLE,2010,68198
Sierra Leone,SLE,2011,67970
Sierra Leone,SLE,2012,94490
Sierra Leone,SLE,2013,120350
Sierra Leone,SLE,2014,115078
Sierra Leone,SLE,2015,126021
Sierra Leone,SLE,2016,148541
Sierra Leone,SLE,2017,165470
Sierra Leone,SLE,2018,108320
Sierra Leone,SLE,2019,136790
Sierra Leone,SLE,2020,114000
Sierra Leone,SLE,2021,123000
Sierra Leone,SLE,2022,130000
Sierra Leone,SLE,2023,110000
South Africa,ZAF,1977,4500
South Africa,ZAF,1978,18000
South Africa,ZAF,1979,42000
South Africa,ZAF,1990,64056
South Africa,ZAF,1991,75000
South Africa,ZAF,1992,75000
South Africa,ZAF,1993,100000
South Africa,ZAF,1994,90000
South Africa,ZAF,1995,90000
South Africa,ZAF,1996,110000
South Africa,ZAF,1997,115000
South Africa,ZAF,1998,115000
South Africa,ZAF,1999,123000
South Africa,ZAF,2000,123000
South Africa,ZAF,2001,122000
South Africa,ZAF,2002,140000
South Africa,ZAF,2003,100000
South Africa,ZAF,2004,100000
South Africa,ZAF,2005,130000
South Africa,ZAF,2006,125200
South Africa,ZAF,2007,111500
South Africa,ZAF,2008,132000
South Africa,ZAF,2009,134000
South Africa,ZAF,2010,135000
South Africa,ZAF,2011,133000
South Africa,ZAF,2012,141000
South Africa,ZAF,2013,73400
South Africa,ZAF,2014,133000
South Africa,ZAF,2015,67000
South Africa,ZAF,2016,67000
South Africa,ZAF,2017,95000
South Africa,ZAF,2018,103000
South Africa,ZAF,2019,110000
South Africa,ZAF,2020,86000
South Africa,ZAF,2021,95000
South Africa,ZAF,2022,100000
South Africa,ZAF,2023,100000
Sri Lanka,LKA,1970,2395
Sri Lanka,LKA,1971,2586
Sri Lanka,LKA,1972,2151
Sri Lanka,LKA,1973,2252
Sri Lanka,LKA,1974,3051
Sri Lanka,LKA,1975,3111
Sri Lanka,LKA,1976,1019
Sri Lanka,LKA,1977,950
Sri Lanka,LKA,1978,11497
Sri Lanka,LKA,1979,14675
Sri Lanka,LKA,1980,12789
Sri Lanka,LKA,1981,13301
Sri Lanka,LKA,1982,7212
Sri Lanka,LKA,1983,8386
Sri Lanka,LKA,1984,6467
Sri Lanka,LKA,1985,8605
Sri Lanka,LKA,1986,8443
Sri Lanka,LKA,1987,7200
Sri Lanka,LKA,1988,13759
Sri Lanka,LKA,1989,5589
Sri Lanka,LKA,1990,7580
Sri Lanka,LKA,1991,3085
Sri Lanka,LKA,1992,2741
Sri Lanka,LKA,1993,2643
Sri Lanka,LKA,1994,2471
Sri Lanka,LKA,1995,2884
Sri Lanka,LKA,1996,3532
Sri Lanka,LKA,1997,2968
Sri Lanka,LKA,1998,1930
Sri Lanka,LKA,2001,0
Sri Lanka,LKA,2002,0
Sri Lanka,LKA,2003,0
Sri Lanka,LKA,2004,2798
Sri Lanka,LKA,2005,8162
Sri Lanka,LKA,2006,2280
Sri Lanka,LKA,2007,4607
Sri Lanka,LKA,2008,3405
Sri Lanka,LKA,2009,2276
Sri Lanka,LKA,2010,2568
Sri Lanka,LKA,2011,1970
Sri Lanka,LKA,2012,1590
Sri Lanka,LKA,2013,1406
Sri Lanka,LKA,2014,2111
Sri Lanka,LKA,2015,1808
Sri Lanka,LKA,2016,2237
Sri Lanka,LKA,2017,2174
Sri Lanka,LKA,2018,2174
Sri Lanka,LKA,2019,1959
Sri Lanka,LKA,2020,1311
Sri Lanka,LKA,2021,1881
Sri Lanka,LKA,2022,741
Tanzania,TZA,2021,0
Tanzania,TZA,2022,0
Thailand,THA,1992,281
Thailand,THA,1993,87
Thailand,THA,1994,49
Turkey,TUR,2018,6498
Turkey,TUR,2019,6450
Turkey,TUR,2020,6795
Turkey,TUR,2021,7451
Turkey,TUR,2022,7226
USSR,OWID_USS,1976,9000
USSR,OWID_USS,1977,9000
USSR,OWID_USS,1978,9000
USSR,OWID_USS,1979,10000
USSR,OWID_USS,1980,10000
USSR,OWID_USS,1981,10000
USSR,OWID_USS,1982,10000
USSR,OWID_USS,1983,10000
USSR,OWID_USS,1984,10000
USSR,OWID_USS,1985,10000
USSR,OWID_USS,1986,10000
USSR,OWID_USS,1987,10000
USSR,OWID_USS,1988,10000
USSR,OWID_USS,1989,10000
USSR,OWID_USS,1990,9500
USSR,OWID_USS,1991,9000
Ukraine,UKR,1992,60000
Ukraine,UKR,1993,60000
Ukraine,UKR,1994,80000
Ukraine,UKR,1995,112000
Ukraine,UKR,1998,111923
Ukraine,UKR,1999,110951
Ukraine,UKR,2000,132517
Ukraine,UKR,2001,150000
Ukraine,UKR,2002,100000
Ukraine,UKR,2003,60000
Ukraine,UKR,2004,60000
Ukraine,UKR,2005,60000
Ukraine,UKR,2006,60000
Ukraine,UKR,2007,60000
Ukraine,UKR,2008,60000
Ukraine,UKR,2009,60000
Ukraine,UKR,2010,60000
Ukraine,UKR,2011,60000
Ukraine,UKR,2012,58000
Ukraine,UKR,2013,162000
Ukraine,UKR,2014,110000
Ukraine,UKR,2015,90000
Ukraine,UKR,2016,90000
Ukraine,UKR,2017,90000
Ukraine,UKR,2018,106858
Ukraine,UKR,2019,115500
Ukraine,UKR,2020,95000
Ukraine,UKR,2021,95000
Ukraine,UKR,2022,95000
Ukraine,UKR,2023,50000
United States,USA,1987,25000
United States,USA,1988,25000
United States,USA,1989,25000
United States,USA,1990,29000
United States,USA,1991,27000
United States,USA,1992,29000
United States,USA,1993,25000
Vietnam,VNM,2001,400
Vietnam,VNM,2002,500
Vietnam,VNM,2003,500
Vietnam,VNM,2004,500
Vietnam,VNM,2005,500
Vietnam,VNM,2006,437
