Entity,Code,Year,production|Lithium|Mine|tonnes
Argentina,ARG,2020,5900
Argentina,ARG,2021,5970
Argentina,ARG,2022,6590
Argentina,ARG,2023,9600
Australia,AUS,2020,39700
Australia,AUS,2021,55300
Australia,AUS,2022,74700
Australia,AUS,2023,86000
Brazil,BRA,2020,1420
Brazil,BRA,2021,1700
Brazil,BRA,2022,2630
Brazil,BRA,2023,4900
Canada,CAN,2021,0
Canada,CAN,2022,520
Canada,CAN,2023,3400
Chile,CHL,2020,21500
Chile,CHL,2021,28300
Chile,CHL,2022,38000
Chile,CHL,2023,44000
China,CHN,2020,13300
China,CHN,2021,14000
China,CHN,2022,22600
China,CHN,2023,33000
Other,,2021,0
Other,,2022,0
Other,,2023,0
Portugal,PRT,2020,348
Portugal,PRT,2021,900
Portugal,PRT,2022,380
Portugal,PRT,2023,380
World,OWID_WRL,2020,82500
World,OWID_WRL,2021,100000
World,OWID_WRL,2022,146000
World,OWID_WRL,2023,180000
Zimbabwe,ZWE,2020,417
Zimbabwe,ZWE,2021,710
Zimbabwe,ZWE,2022,1030
Zimbabwe,ZWE,2023,3400
