Entity,Code,Year,production|Tin|Mine|tonnes
Australia,AUS,2020,8120
Australia,AUS,2021,8772
Australia,AUS,2022,9000
Australia,AUS,2023,9100
Bolivia,BOL,2020,14700
Bolivia,BOL,2021,19628
Bolivia,BOL,2022,17600
Bolivia,BOL,2023,18000
Brazil,BRA,2020,16900
Brazil,BRA,2021,15517
Brazil,BRA,2022,17000
Brazil,BRA,2023,18000
China,CHN,2020,84000
China,CHN,2021,90000
China,CHN,2022,71000
China,CHN,2023,68000
Democratic Republic of Congo,COD,2020,17300
Democratic Republic of Congo,COD,2021,16700
Democratic Republic of Congo,COD,2022,18600
Democratic Republic of Congo,COD,2023,19000
Indonesia,IDN,2020,53000
Indonesia,IDN,2021,70000
Indonesia,IDN,2022,70000
Indonesia,IDN,2023,52000
Laos,LAO,2020,1400
Laos,LAO,2021,1980
Laos,LAO,2022,2510
Laos,LAO,2023,2300
Malaysia,MYS,2020,2960
Malaysia,MYS,2021,5000
Malaysia,MYS,2022,5000
Malaysia,MYS,2023,6100
Myanmar,MMR,2020,29000
Myanmar,MMR,2021,36900
Myanmar,MMR,2022,47000
Myanmar,MMR,2023,54000
Nigeria,NGA,2020,5000
Nigeria,NGA,2021,1600
Nigeria,NGA,2022,7000
Nigeria,NGA,2023,8100
Other,,2020,782
Other,,2021,1180
Other,,2022,1160
Other,,2023,1300
Peru,PER,2020,20600
Peru,PER,2021,26995
Peru,PER,2022,28200
Peru,PER,2023,23000
Russia,RUS,2020,2500
Russia,RUS,2021,3000
Russia,RUS,2022,3700
Russia,RUS,2023,2700
Rwanda,RWA,2020,1800
Rwanda,RWA,2021,2000
Rwanda,RWA,2022,3300
Rwanda,RWA,2023,3800
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
Vietnam,VNM,2020,5400
Vietnam,VNM,2021,5400
Vietnam,VNM,2022,5900
Vietnam,VNM,2023,5300
World,OWID_WRL,1905,93600
World,OWID_WRL,1906,98400
World,OWID_WRL,1907,93800
World,OWID_WRL,1908,106000
World,OWID_WRL,1909,106000
World,OWID_WRL,1910,105000
World,OWID_WRL,1911,112000
World,OWID_WRL,1912,122000
World,OWID_WRL,1913,136000
World,OWID_WRL,1914,128000
World,OWID_WRL,1915,129000
World,OWID_WRL,1916,128000
World,OWID_WRL,1917,135000
World,OWID_WRL,1918,128000
World,OWID_WRL,1919,123000
World,OWID_WRL,1920,126000
World,OWID_WRL,1921,110000
World,OWID_WRL,1922,127000
World,OWID_WRL,1923,130000
World,OWID_WRL,1924,142000
World,OWID_WRL,1925,147000
World,OWID_WRL,1926,146000
World,OWID_WRL,1927,161000
World,OWID_WRL,1928,180000
World,OWID_WRL,1929,196000
World,OWID_WRL,1930,179000
