Entity,Code,Year,production|Fluorspar|Mine|tonnes
Afghanistan,AFG,2013,0
Afghanistan,AFG,2014,4700
Afghanistan,AFG,2015,4108
Afghanistan,AFG,2016,4000
Afghanistan,AFG,2017,4000
Afghanistan,AFG,2018,4000
Afghanistan,AFG,2019,4000
Afghanistan,AFG,2020,4000
Afghanistan,AFG,2021,4000
Afghanistan,AFG,2022,4000
Argentina,ARG,1970,29655
Argentina,ARG,1971,72334
Argentina,ARG,1974,40672
Argentina,ARG,1976,40077
Argentina,ARG,1977,43792
Argentina,ARG,1978,26746
Argentina,ARG,1979,38076
Argentina,ARG,1980,15468
Argentina,ARG,1981,20755
Argentina,ARG,1982,23727
Argentina,ARG,1983,28985
Argentina,ARG,1984,23157
Argentina,ARG,1985,30612
Argentina,ARG,1986,39076
Argentina,ARG,1987,54975
Argentina,ARG,1988,18052
Argentina,ARG,1989,23385
Argentina,ARG,1990,24503
Argentina,ARG,1991,16462
Argentina,ARG,1992,4587
Argentina,ARG,1993,4611
Argentina,ARG,1994,3585
Argentina,ARG,1995,5105
Argentina,ARG,1996,5666
Argentina,ARG,1997,7168
Argentina,ARG,1998,11517
Argentina,ARG,1999,12704
Argentina,ARG,2000,11229
Argentina,ARG,2001,9075
Argentina,ARG,2002,5168
Argentina,ARG,2003,5422
Argentina,ARG,2004,6189
Argentina,ARG,2005,7502
Argentina,ARG,2006,8278
Argentina,ARG,2007,9735
Argentina,ARG,2008,15098
Argentina,ARG,2009,13424
Argentina,ARG,2010,17657
Argentina,ARG,2011,25099
Argentina,ARG,2012,35874
Argentina,ARG,2013,37967
Argentina,ARG,2014,30000
Argentina,ARG,2015,58556
Argentina,ARG,2016,14222
Argentina,ARG,2017,13696
Argentina,ARG,2018,7924
Argentina,ARG,2019,8000
Argentina,ARG,2020,4800
Argentina,ARG,2021,4800
Argentina,ARG,2022,4800
Australia,AUS,1970,580
Australia,AUS,1971,464
Brazil,BRA,1970,36568
Brazil,BRA,1971,61592
Brazil,BRA,1974,105873
Brazil,BRA,1976,31160
Brazil,BRA,1977,66645
Brazil,BRA,1978,61800
Brazil,BRA,1979,74897
Brazil,BRA,1980,55369
Brazil,BRA,1981,56539
Brazil,BRA,1982,57371
Brazil,BRA,1983,70629
Brazil,BRA,1984,75711
Brazil,BRA,1985,83102
Brazil,BRA,1986,83680
Brazil,BRA,1987,88944
Brazil,BRA,1988,89998
Brazil,BRA,1989,106638
Brazil,BRA,1990,88418
Brazil,BRA,1991,81991
Brazil,BRA,1992,83696
Brazil,BRA,1993,115972
Brazil,BRA,1994,91658
Brazil,BRA,1995,89258
Brazil,BRA,1996,97749
Brazil,BRA,1997,78032
Brazil,BRA,1998,72085
Brazil,BRA,1999,44926
Brazil,BRA,2000,44046
Brazil,BRA,2001,43734
Brazil,BRA,2002,47899
Brazil,BRA,2003,56346
Brazil,BRA,2004,57772
Brazil,BRA,2005,66512
Brazil,BRA,2006,63604
Brazil,BRA,2007,65526
Brazil,BRA,2008,63241
Brazil,BRA,2009,43964
Brazil,BRA,2010,24447
Brazil,BRA,2011,25040
Brazil,BRA,2012,24148
Brazil,BRA,2013,27712
Brazil,BRA,2014,20600
Brazil,BRA,2015,23623
Brazil,BRA,2016,18260
Brazil,BRA,2017,24000
Brazil,BRA,2018,28195
Brazil,BRA,2019,24399
Brazil,BRA,2020,24730
Brazil,BRA,2021,28158
Brazil,BRA,2022,28969
Bulgaria,BGR,2000,200
Bulgaria,BGR,2001,300
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,32
Bulgaria,BGR,2010,10
Bulgaria,BGR,2011,31800
Bulgaria,BGR,2012,69700
Bulgaria,BGR,2013,82500
Bulgaria,BGR,2014,130800
Bulgaria,BGR,2015,146500
Bulgaria,BGR,2016,4400
Canada,CAN,1970,124100
Canada,CAN,1971,82000
Canada,CAN,1974,154300
Canada,CAN,1976,59700
Canada,CAN,1977,59500
Canada,CAN,1987,10000
Canada,CAN,1988,40751
Canada,CAN,1989,50794
Canada,CAN,1990,21400
Canada,CAN,1991,0
Canada,CAN,2020,100000
Canada,CAN,2021,140000
Canada,CAN,2022,18000
China,CHN,1970,270000
China,CHN,1971,254000
China,CHN,1974,300000
China,CHN,1976,350000
China,CHN,1977,400000
China,CHN,1978,440000
China,CHN,1979,460000
China,CHN,1980,480000
China,CHN,1981,480000
China,CHN,1982,525000
China,CHN,1983,525000
China,CHN,1984,650000
China,CHN,1985,850000
China,CHN,1986,900000
China,CHN,1987,1000000
China,CHN,1988,1400000
China,CHN,1989,1680000
China,CHN,1990,1650000
China,CHN,1991,1920000
China,CHN,1992,1900000
China,CHN,1993,2100000
China,CHN,1994,2000000
China,CHN,1995,2000000
China,CHN,1996,2150000
China,CHN,1997,2300000
China,CHN,1998,2350000
China,CHN,1999,2230000
China,CHN,2000,2240000
China,CHN,2001,2200000
China,CHN,2002,2650000
China,CHN,2003,2400000
China,CHN,2004,2500000
China,CHN,2005,2700000
China,CHN,2006,3000000
China,CHN,2007,3200000
China,CHN,2008,4200000
China,CHN,2009,3800000
China,CHN,2010,4780000
China,CHN,2011,6550000
China,CHN,2012,5200000
China,CHN,2013,4800000
China,CHN,2014,4310000
China,CHN,2015,3820000
China,CHN,2016,3470000
China,CHN,2017,3700000
China,CHN,2018,4000000
China,CHN,2019,4300000
China,CHN,2020,5400000
China,CHN,2021,5700000
China,CHN,2022,5700000
China,CHN,2023,5700000
Colombia,COL,2013,3
Colombia,COL,2014,10
Colombia,COL,2015,47
Colombia,COL,2016,75
Colombia,COL,2017,57
Colombia,COL,2018,46
Colombia,COL,2019,0
Colombia,COL,2020,0
Colombia,COL,2021,0
Colombia,COL,2022,0
Czechia,CZE,1992,0
Czechia,CZE,1993,22000
Czechia,CZE,1994,10000
Czechoslovakia,OWID_CZS,1970,80000
Czechoslovakia,OWID_CZS,1971,90000
Czechoslovakia,OWID_CZS,1974,90000
Czechoslovakia,OWID_CZS,1976,93000
Czechoslovakia,OWID_CZS,1977,96000
Czechoslovakia,OWID_CZS,1978,96000
Czechoslovakia,OWID_CZS,1979,96000
Czechoslovakia,OWID_CZS,1980,96000
Czechoslovakia,OWID_CZS,1981,96000
Czechoslovakia,OWID_CZS,1982,96000
Czechoslovakia,OWID_CZS,1983,96000
Czechoslovakia,OWID_CZS,1984,96000
Czechoslovakia,OWID_CZS,1985,95000
Czechoslovakia,OWID_CZS,1986,95000
Czechoslovakia,OWID_CZS,1987,95000
Czechoslovakia,OWID_CZS,1988,95000
Czechoslovakia,OWID_CZS,1989,68910
Czechoslovakia,OWID_CZS,1990,46966
Czechoslovakia,OWID_CZS,1991,40000
Czechoslovakia,OWID_CZS,1992,40000
East Germany,OWID_GDR,1970,80000
East Germany,OWID_GDR,1971,80000
East Germany,OWID_GDR,1974,90000
East Germany,OWID_GDR,1976,90000
