Entity,Code,Year,production|Tantalum|Mine|tonnes
Australia,AUS,2020,34
Australia,AUS,2021,44
Australia,AUS,2022,46
Australia,AUS,2023,43
Bolivia,BOL,2020,7
Bolivia,BOL,2021,1
Bolivia,BOL,2022,1
Brazil,BRA,2020,470
Brazil,BRA,2021,360
Brazil,BRA,2022,370
Brazil,BRA,2023,360
Burundi,BDI,2020,24
Burundi,BDI,2021,39
Burundi,BDI,2022,59
Burundi,BDI,2023,36
China,CHN,2020,74
China,CHN,2021,76
China,CHN,2022,78
China,CHN,2023,79
Democratic Republic of Congo,COD,2020,780
Democratic Republic of Congo,COD,2021,790
Democratic Republic of Congo,COD,2022,890
Democratic Republic of Congo,COD,2023,980
Ethiopia,ETH,2020,69
Ethiopia,ETH,2021,32
Ethiopia,ETH,2022,24
Mozambique,MOZ,2020,43
Mozambique,MOZ,2021,37
Mozambique,MOZ,2022,34
Nigeria,NGA,2020,260
Nigeria,NGA,2021,110
Nigeria,NGA,2022,110
Nigeria,NGA,2023,110
Other,,2022,120
Other,,2023,260
Russia,RUS,2020,49
Russia,RUS,2021,39
Russia,RUS,2022,31
Russia,RUS,2023,20
Rwanda,RWA,2020,254
Rwanda,RWA,2021,269
Rwanda,RWA,2022,347
Rwanda,RWA,2023,520
Uganda,UGA,2020,38
Uganda,UGA,2021,38
Uganda,UGA,2022,38
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
World,OWID_WRL,1969,388
World,OWID_WRL,1970,318
World,OWID_WRL,1971,496
World,OWID_WRL,1972,371
World,OWID_WRL,1973,384
World,OWID_WRL,1974,436
World,OWID_WRL,1975,411
World,OWID_WRL,1976,339
World,OWID_WRL,1977,409
World,OWID_WRL,1978,362
World,OWID_WRL,1979,476
World,OWID_WRL,1980,544
World,OWID_WRL,1981,403
World,OWID_WRL,1982,284
World,OWID_WRL,1983,313
World,OWID_WRL,1984,315
World,OWID_WRL,1985,315
World,OWID_WRL,1986,215
World,OWID_WRL,1987,275
World,OWID_WRL,1988,292
World,OWID_WRL,1989,395
World,OWID_WRL,1990,396
World,OWID_WRL,1991,477
World,OWID_WRL,1992,399
World,OWID_WRL,1993,292
World,OWID_WRL,1994,333
World,OWID_WRL,1995,361
World,OWID_WRL,1996,436
World,OWID_WRL,1997,562
World,OWID_WRL,1998,779
World,OWID_WRL,1999,656
World,OWID_WRL,2000,1070
World,OWID_WRL,2001,1180
World,OWID_WRL,2002,1340
World,OWID_WRL,2003,1390
World,OWID_WRL,2004,1430
World,OWID_WRL,2005,1380
World,OWID_WRL,2006,859
World,OWID_WRL,2007,1060
World,OWID_WRL,2008,1500
World,OWID_WRL,2009,956
World,OWID_WRL,2010,922
World,OWID_WRL,2011,1000
World,OWID_WRL,2012,1100
World,OWID_WRL,2013,1300
World,OWID_WRL,2014,1610
World,OWID_WRL,2015,1660
World,OWID_WRL,2016,1680
World,OWID_WRL,2017,1910
World,OWID_WRL,2018,2100
World,OWID_WRL,2019,1920
World,OWID_WRL,2020,2100
World,OWID_WRL,2021,1840
World,OWID_WRL,2022,1990
World,OWID_WRL,2023,2400
