Entity,Code,Year,production|Zinc|Refinery|tonnes
Belgium,BEL,1984,285319
Belgium,BEL,1985,289562
Belgium,BEL,1986,288787
Belgium,BEL,1987,308580
Belgium,BEL,1988,323758
Belgium,BEL,1989,306022
Belgium,BEL,1990,356533
Belgium,BEL,1991,297600
Belgium,BEL,1992,217200
Belgium,BEL,1993,210100
Belgium,BEL,1994,211200
Belgium,BEL,1995,211100
Belgium,BEL,1996,207400
Belgium,BEL,1997,213600
Belgium,BEL,1998,205000
Belgium,BEL,1999,232400
Belgium,BEL,2000,263800
Belgium,BEL,2001,256400
Belgium,BEL,2002,238700
Belgium,BEL,2003,244400
Belgium,BEL,2004,272500
Belgium,BEL,2005,222000
Belgium,BEL,2006,238000
Belgium,BEL,2007,254000
Belgium,BEL,2008,251000
Belgium,BEL,2009,137000
Belgium,BEL,2010,260000
Belgium,BEL,2011,282000
Belgium,BEL,2012,250000
Belgium,BEL,2013,252000
Belgium,BEL,2014,262000
Belgium,BEL,2015,260000
Belgium,BEL,2016,236000
Belgium,BEL,2017,249000
Belgium,BEL,2018,275000
Belgium,BEL,2019,271200
Belgium,BEL,2020,270000
Belgium,BEL,2021,267086
Belgium,BEL,2022,260000
Brazil,BRA,1970,11000
Brazil,BRA,1971,16300
Brazil,BRA,1972,15557
Brazil,BRA,1973,22300
Brazil,BRA,1974,30519
Brazil,BRA,1975,31428
Brazil,BRA,1976,43154
Brazil,BRA,1977,47032
Brazil,BRA,1978,56097
Brazil,BRA,1979,63494
Brazil,BRA,1980,96025
Brazil,BRA,1981,110830
Brazil,BRA,1982,110434
Brazil,BRA,1983,110958
Brazil,BRA,1984,114449
Brazil,BRA,1985,120737
Brazil,BRA,1986,135296
Brazil,BRA,1987,148036
Brazil,BRA,1988,143974
Brazil,BRA,1989,162255
Brazil,BRA,1990,154086
Brazil,BRA,1991,163000
Brazil,BRA,1992,187414
Brazil,BRA,1993,194750
Brazil,BRA,1994,194300
Brazil,BRA,1995,200976
Brazil,BRA,1996,193339
Brazil,BRA,1997,192701
Brazil,BRA,1998,183806
Brazil,BRA,1999,194010
Brazil,BRA,2000,198777
Brazil,BRA,2001,204037
Brazil,BRA,2002,254700
Brazil,BRA,2003,270000
Brazil,BRA,2004,273000
Brazil,BRA,2005,274000
Brazil,BRA,2006,279000
Brazil,BRA,2007,265126
Brazil,BRA,2008,248874
Brazil,BRA,2009,242136
Brazil,BRA,2010,288107
Brazil,BRA,2011,284770
Brazil,BRA,2012,245526
Brazil,BRA,2013,245417
Brazil,BRA,2014,246120
Brazil,BRA,2015,270715
Brazil,BRA,2016,284457
Brazil,BRA,2017,245200
Brazil,BRA,2018,251000
Brazil,BRA,2019,241900
Brazil,BRA,2020,247000
Brazil,BRA,2021,237600
Brazil,BRA,2022,233700
Bulgaria,BGR,1970,76100
Bulgaria,BGR,1971,79000
Bulgaria,BGR,1972,80000
Bulgaria,BGR,1973,80000
Bulgaria,BGR,1974,80000
Bulgaria,BGR,1975,80000
Bulgaria,BGR,1976,92500
Bulgaria,BGR,1977,90000
Bulgaria,BGR,1978,91000
Bulgaria,BGR,1979,89000
Bulgaria,BGR,1980,91000
Bulgaria,BGR,1981,90000
Bulgaria,BGR,1982,92000
Bulgaria,BGR,1983,93000
Bulgaria,BGR,1984,93000
Bulgaria,BGR,1985,90000
Bulgaria,BGR,1986,92661
Bulgaria,BGR,1987,89922
Bulgaria,BGR,1988,82023
Bulgaria,BGR,1989,94996
Bulgaria,BGR,1990,75457
Bulgaria,BGR,1991,58730
Bulgaria,BGR,1992,57820
Bulgaria,BGR,1993,67000
Bulgaria,BGR,1994,76700
Bulgaria,BGR,1995,68800
Bulgaria,BGR,1996,80000
Bulgaria,BGR,1997,82000
Bulgaria,BGR,1998,86136
Bulgaria,BGR,1999,84000
Bulgaria,BGR,2000,84000
Bulgaria,BGR,2001,88000
Bulgaria,BGR,2002,83000
Bulgaria,BGR,2003,86800
Bulgaria,BGR,2004,101500
Bulgaria,BGR,2005,92500
Bulgaria,BGR,2006,85900
Bulgaria,BGR,2007,98100
Bulgaria,BGR,2008,101700
Bulgaria,BGR,2009,92700
Bulgaria,BGR,2010,93800
Bulgaria,BGR,2011,88400
Bulgaria,BGR,2012,73100
Bulgaria,BGR,2013,69600
Bulgaria,BGR,2014,76293
Bulgaria,BGR,2015,75095
Bulgaria,BGR,2016,75811
Bulgaria,BGR,2017,73715
Bulgaria,BGR,2018,75150
Bulgaria,BGR,2019,73512
Bulgaria,BGR,2020,74520
Bulgaria,BGR,2021,72418
Bulgaria,BGR,2022,72527
Canada,CAN,1970,413196
Canada,CAN,1971,372529
Canada,CAN,1972,476168
Canada,CAN,1973,532552
Canada,CAN,1974,437725
Canada,CAN,1975,426941
Canada,CAN,1976,472316
Canada,CAN,1977,494938
Canada,CAN,1978,495243
Canada,CAN,1979,580449
Canada,CAN,1980,591565
Canada,CAN,1981,618650
Canada,CAN,1982,511870
Canada,CAN,1983,617033
Canada,CAN,1984,683156
Canada,CAN,1985,692406
Canada,CAN,1986,570981
Canada,CAN,1987,609909
Canada,CAN,1988,703206
Canada,CAN,1989,669677
Canada,CAN,1990,591786
Canada,CAN,1991,660552
Canada,CAN,1992,671702
Canada,CAN,1993,659881
Canada,CAN,1994,690965
Canada,CAN,1995,720346
Canada,CAN,1996,716467
Canada,CAN,1997,703798
Canada,CAN,1998,745131
Canada,CAN,1999,776927
Canada,CAN,2000,779892
Canada,CAN,2001,661172
Canada,CAN,2002,793410
Canada,CAN,2003,761199
Canada,CAN,2004,805438
Canada,CAN,2005,724035
Canada,CAN,2006,824464
Canada,CAN,2007,802103
Canada,CAN,2008,764310
Canada,CAN,2009,685504
Canada,CAN,2010,691221
Canada,CAN,2011,662151
Canada,CAN,2012,648619
Canada,CAN,2013,651638
Canada,CAN,2014,649217
Canada,CAN,2015,683118
Canada,CAN,2016,691389
Canada,CAN,2017,598438
Canada,CAN,2018,620202
Canada,CAN,2019,653194
Canada,CAN,2020,678558
Canada,CAN,2021,640718
Canada,CAN,2022,587000
China,CHN,1970,100000
China,CHN,1971,100000
China,CHN,1972,120000
China,CHN,1973,120000
China,CHN,1974,130000
China,CHN,1975,140000
China,CHN,1976,150000
China,CHN,1977,155000
China,CHN,1978,160000
China,CHN,1979,160000
China,CHN,1980,155000
China,CHN,1981,160000
China,CHN,1982,175000
China,CHN,1983,200000
China,CHN,1984,240000
China,CHN,1985,306200
China,CHN,1986,336200
China,CHN,1987,383100
China,CHN,1988,425400
China,CHN,1989,620400
China,CHN,1990,763100
China,CHN,1991,612000
China,CHN,1992,718900
China,CHN,1993,891300
China,CHN,1994,1077600
China,CHN,1995,1076700
China,CHN,1996,1163800
China,CHN,1997,1434400
China,CHN,1998,1486300
China,CHN,1999,1703200
China,CHN,2000,1957000
China,CHN,2001,2037600
China,CHN,2002,2155100
China,CHN,2003,2318500
China,CHN,2004,2719500
China,CHN,2005,2776100
China,CHN,2006,3162700
China,CHN,2007,3742600
China,CHN,2008,4042300
China,CHN,2009,4286300
China,CHN,2010,5208900
China,CHN,2011,5212200
China,CHN,2012,4881200
China,CHN,2013,5279600
China,CHN,2014,5806970
China,CHN,2015,6115928
China,CHN,2016,6195962
China,CHN,2017,6143900
China,CHN,2018,5607103
China,CHN,2019,6236423
China,CHN,2020,6424876
China,CHN,2021,6561000
China,CHN,2022,6358100
Democratic Republic of Congo,COD,1970,63744
Democratic Republic of Congo,COD,1971,62673
Democratic Republic of Congo,COD,1972,66351
Democratic Republic of Congo,COD,1973,67747
Democratic Republic of Congo,COD,1974,66714
Democratic Republic of Congo,COD,1975,65588
Democratic Republic of Congo,COD,1976,60622
Democratic Republic of Congo,COD,1977,51049
Democratic Republic of Congo,COD,1978,43508
Democratic Republic of Congo,COD,1979,43693
Democratic Republic of Congo,COD,1980,43848
Democratic Republic of Congo,COD,1981,57638
Democratic Republic of Congo,COD,1982,64425
Democratic Republic of Congo,COD,1983,62535
Democratic Republic of Congo,COD,1984,66087
Democratic Republic of Congo,COD,1985,64046
Democratic Republic of Congo,COD,1986,63900
Democratic Republic of Congo,COD,1987,54875
Democratic Republic of Congo,COD,1988,61400
Democratic Republic of Congo,COD,1989,54000
Democratic Republic of Congo,COD,1990,38203
Democratic Republic of Congo,COD,1991,28200
Democratic Republic of Congo,COD,1992,18800
Democratic Republic of Congo,COD,1993,4152
Democratic Republic of Congo,COD,1994,600
Democratic Republic of Congo,COD,1995,500
Democratic Republic of Congo,COD,1996,100
East Germany,OWID_GDR,1970,15000
East Germany,OWID_GDR,1971,15000
East Germany,OWID_GDR,1972,13600
East Germany,OWID_GDR,1973,14600
East Germany,OWID_GDR,1974,15000
East Germany,OWID_GDR,1975,15200
East Germany,OWID_GDR,1976,15000
East Germany,OWID_GDR,1977,15500
East Germany,OWID_GDR,1978,16000
East Germany,OWID_GDR,1979,17000
East Germany,OWID_GDR,1980,16000
East Germany,OWID_GDR,1981,16000
East Germany,OWID_GDR,1982,17000
East Germany,OWID_GDR,1983,16500
East Germany,OWID_GDR,1984,17000
East Germany,OWID_GDR,1985,20900
East Germany,OWID_GDR,1986,21000
East Germany,OWID_GDR,1987,21100
East Germany,OWID_GDR,1988,20000
East Germany,OWID_GDR,1989,18500
East Germany,OWID_GDR,1990,12700
Finland,FIN,1970,57000
Finland,FIN,1971,63700
Finland,FIN,1972,81096
Finland,FIN,1973,80662
Finland,FIN,1974,91786
Finland,FIN,1975,109885
Finland,FIN,1976,110633
Finland,FIN,1977,138000
Finland,FIN,1978,132900
Finland,FIN,1979,146564
Finland,FIN,1980,146719
Finland,FIN,1981,139835
Finland,FIN,1982,143882
Finland,FIN,1983,155336
Finland,FIN,1984,141475
Finland,FIN,1985,144553
Finland,FIN,1986,138841
Finland,FIN,1987,158831
Finland,FIN,1988,149758
Finland,FIN,1989,154230
Finland,FIN,1990,163063
Finland,FIN,1991,172020
Finland,FIN,1992,162798
Finland,FIN,1993,170299
Finland,FIN,1994,173244
Finland,FIN,1995,176583
Finland,FIN,1996,175635
Finland,FIN,1997,175333
Finland,FIN,1998,198940
Finland,FIN,1999,225200
Finland,FIN,2000,222900
Finland,FIN,2001,248800
Finland,FIN,2002,235300
Finland,FIN,2003,265853
Finland,FIN,2004,284525
Finland,FIN,2005,281904
Finland,FIN,2006,282238
Finland,FIN,2007,305543
Finland,FIN,2008,297722
Finland,FIN,2009,295049
Finland,FIN,2010,307144
Finland,FIN,2011,307352
Finland,FIN,2012,314742
Finland,FIN,2013,311686
Finland,FIN,2014,302024
Finland,FIN,2015,305717
Finland,FIN,2016,290599
Finland,FIN,2017,284992
Finland,FIN,2018,295029
Finland,FIN,2019,290844
Finland,FIN,2020,297257
Finland,FIN,2021,292648
Finland,FIN,2022,294122
France,FRA,1970,223674
France,FRA,1971,210688
France,FRA,1972,261515
France,FRA,1973,259378
France,FRA,1974,276669
France,FRA,1975,181127
France,FRA,1976,233496
France,FRA,1977,238271
France,FRA,1978,231197
France,FRA,1979,248977
France,FRA,1980,252769
France,FRA,1981,257131
France,FRA,1982,243700
France,FRA,1983,249500
France,FRA,1984,258514
France,FRA,1985,247250
France,FRA,1986,257376
France,FRA,1987,290812
France,FRA,1988,304032
France,FRA,1989,287344
France,FRA,1990,264132
France,FRA,1991,299497
France,FRA,1992,318800
France,FRA,1993,324500
France,FRA,1994,304900
France,FRA,1995,313900
France,FRA,1996,324500
France,FRA,1997,317200
France,FRA,1998,320400
France,FRA,1999,318400
France,FRA,2000,318100
France,FRA,2001,328900
France,FRA,2002,333300
France,FRA,2003,257000
France,FRA,2004,260000
France,FRA,2005,209000
France,FRA,2006,120000
France,FRA,2007,129000
France,FRA,2008,118000
France,FRA,2009,161000
France,FRA,2010,163000
France,FRA,2011,164000
France,FRA,2012,161000
France,FRA,2013,152000
France,FRA,2014,171000
France,FRA,2015,169000
France,FRA,2016,149000
France,FRA,2017,166000
France,FRA,2018,155000
France,FRA,2019,142000
France,FRA,2020,166000
France,FRA,2021,165000
France,FRA,2022,109300
Germany,DEU,1991,345700
Germany,DEU,1992,383100
Germany,DEU,1993,380900
Germany,DEU,1994,359880
Germany,DEU,1995,322460
Germany,DEU,1996,328100
Germany,DEU,1997,317679
Germany,DEU,1998,333968
Germany,DEU,1999,360823
Germany,DEU,2000,356516
Germany,DEU,2001,361348
Germany,DEU,2002,378561
Germany,DEU,2003,388131
Germany,DEU,2004,382020
Germany,DEU,2005,334900
Germany,DEU,2006,342566
Germany,DEU,2007,294735
Germany,DEU,2008,292284
Germany,DEU,2009,153000
Germany,DEU,2010,165000
Germany,DEU,2011,170000
Germany,DEU,2012,169000
Germany,DEU,2013,162000
Germany,DEU,2014,168000
Germany,DEU,2015,173000
Germany,DEU,2016,168000
Germany,DEU,2017,174000
Germany,DEU,2018,180000
Germany,DEU,2019,182000
Germany,DEU,2020,161000
Germany,DEU,2021,165100
Germany,DEU,2022,134900
India,IND,1970,23415
India,IND,1971,21219
India,IND,1972,25227
India,IND,1973,12506
India,IND,1974,21103
India,IND,1975,25730
India,IND,1976,26785
India,IND,1977,35997
India,IND,1978,59388
India,IND,1979,63323
India,IND,1980,43627
India,IND,1981,57434
India,IND,1982,52571
India,IND,1983,54147
India,IND,1984,55356
India,IND,1985,70947
India,IND,1986,73828
India,IND,1987,68899
India,IND,1988,68940
India,IND,1989,71572
India,IND,1990,79093
India,IND,1991,85600
India,IND,1992,128100
India,IND,1993,143961
India,IND,1994,156400
India,IND,1995,158500
India,IND,1996,149000
India,IND,1997,166000
India,IND,1998,180000
India,IND,1999,189000
India,IND,2000,204000
India,IND,2001,234000
India,IND,2002,248000
India,IND,2003,280000
India,IND,2004,272000
India,IND,2005,302000
India,IND,2006,415000
India,IND,2007,441000
India,IND,2008,589000
India,IND,2009,636000
India,IND,2010,740402
India,IND,2011,783647
India,IND,2012,704228
India,IND,2013,767994
India,IND,2014,732792
India,IND,2015,758944
India,IND,2016,672010
India,IND,2017,791461
India,IND,2018,696283
India,IND,2019,688282
India,IND,2020,715445
India,IND,2021,775808
India,IND,2022,683903
Iran,IRN,1994,709
Iran,IRN,1995,2400
Iran,IRN,1996,5000
Iran,IRN,1997,7000
Iran,IRN,1998,17000
Iran,IRN,1999,29724
Iran,IRN,2000,53000
Iran,IRN,2001,73000
Iran,IRN,2002,81000
Iran,IRN,2003,78428
Iran,IRN,2004,109400
Iran,IRN,2005,140000
Iran,IRN,2006,139000
Iran,IRN,2007,125000
Iran,IRN,2008,120000
Iran,IRN,2009,115000
Iran,IRN,2010,120000
Iran,IRN,2011,132000
Iran,IRN,2012,148000
Iran,IRN,2013,140000
Iran,IRN,2014,145000
Iran,IRN,2015,138000
Iran,IRN,2016,135000
Iran,IRN,2017,140000
Iran,IRN,2018,130000
Iran,IRN,2019,144000
Iran,IRN,2020,135000
Iran,IRN,2021,140000
Iran,IRN,2022,140000
Italy,ITA,1970,142082
Italy,ITA,1971,138919
Italy,ITA,1972,155861
Italy,ITA,1973,182011
Italy,ITA,1974,184215
Italy,ITA,1975,179732
Italy,ITA,1976,191246
Italy,ITA,1977,169391
Italy,ITA,1978,177552
Italy,ITA,1979,202658
Italy,ITA,1980,206659
Italy,ITA,1981,180904
Italy,ITA,1982,158248
Italy,ITA,1983,155596
Italy,ITA,1984,166751
Italy,ITA,1985,210075
Italy,ITA,1986,230400
Italy,ITA,1987,247000
Italy,ITA,1988,242117
Italy,ITA,1989,246000
Italy,ITA,1990,248100
Italy,ITA,1991,256000
Italy,ITA,1992,252600
Italy,ITA,1993,253600
Italy,ITA,1994,255900
Italy,ITA,1995,260200
Italy,ITA,1996,268700
Italy,ITA,1997,268300
Italy,ITA,1998,231600
Italy,ITA,1999,145300
Italy,ITA,2000,170300
Italy,ITA,2001,178600
Italy,ITA,2002,175800
Italy,ITA,2003,123100
Italy,ITA,2004,118400
Italy,ITA,2005,121200
Italy,ITA,2006,109200
Italy,ITA,2007,102100
Italy,ITA,2008,107100
Italy,ITA,2009,103400
Italy,ITA,2010,104700
Italy,ITA,2011,110200
Italy,ITA,2012,97200
Italy,ITA,2013,111000
Italy,ITA,2014,138100
Italy,ITA,2015,140200
Italy,ITA,2016,139500
Italy,ITA,2017,128800
Italy,ITA,2018,131600
Italy,ITA,2019,132900
Italy,ITA,2020,126100
Italy,ITA,2021,179800
Italy,ITA,2022,96100
Japan,JPN,1970,676250
Japan,JPN,1971,717728
Japan,JPN,1972,804777
Japan,JPN,1973,842983
Japan,JPN,1974,849897
Japan,JPN,1975,701794
Japan,JPN,1976,742069
Japan,JPN,1977,778406
Japan,JPN,1978,767949
Japan,JPN,1979,789352
Japan,JPN,1980,735187
Japan,JPN,1981,670162
Japan,JPN,1982,662380
Japan,JPN,1983,701291
Japan,JPN,1984,754445
Japan,JPN,1985,739624
Japan,JPN,1986,706032
Japan,JPN,1987,665618
Japan,JPN,1988,678175
Japan,JPN,1989,664507
Japan,JPN,1990,687461
Japan,JPN,1991,730829
Japan,JPN,1992,729454
Japan,JPN,1993,695687
Japan,JPN,1994,665502
Japan,JPN,1995,663562
Japan,JPN,1996,599053
Japan,JPN,1997,603112
Japan,JPN,1998,607899
Japan,JPN,1999,633383
Japan,JPN,2000,654384
Japan,JPN,2001,644358
Japan,JPN,2002,639925
Japan,JPN,2003,651246
Japan,JPN,2004,634637
Japan,JPN,2005,638352
Japan,JPN,2006,614331
Japan,JPN,2007,597650
Japan,JPN,2008,615533
Japan,JPN,2009,540604
Japan,JPN,2010,574008
Japan,JPN,2011,544674
Japan,JPN,2012,571312
Japan,JPN,2013,587291
Japan,JPN,2014,583021
Japan,JPN,2015,566619
Japan,JPN,2016,533689
Japan,JPN,2017,523919
Japan,JPN,2018,521110
Japan,JPN,2019,526717
Japan,JPN,2020,501146
Japan,JPN,2021,517221
Japan,JPN,2022,516638
Kazakhstan,KAZ,1992,230000
Kazakhstan,KAZ,1993,238500
Kazakhstan,KAZ,1994,172531
Kazakhstan,KAZ,1995,169171
Kazakhstan,KAZ,1996,170081
Kazakhstan,KAZ,1997,188996
Kazakhstan,KAZ,1998,240728
Kazakhstan,KAZ,1999,248754
Kazakhstan,KAZ,2000,262570
Kazakhstan,KAZ,2001,277073
Kazakhstan,KAZ,2002,286454
Kazakhstan,KAZ,2003,294965
Kazakhstan,KAZ,2004,316700
Kazakhstan,KAZ,2005,338000
Kazakhstan,KAZ,2006,364821
Kazakhstan,KAZ,2007,358226
Kazakhstan,KAZ,2008,365572
Kazakhstan,KAZ,2009,327873
Kazakhstan,KAZ,2010,318858
Kazakhstan,KAZ,2011,319847
Kazakhstan,KAZ,2012,319847
Kazakhstan,KAZ,2013,320150
Kazakhstan,KAZ,2014,324946
Kazakhstan,KAZ,2015,323848
Kazakhstan,KAZ,2016,325820
Kazakhstan,KAZ,2017,331018
Kazakhstan,KAZ,2018,317965
Kazakhstan,KAZ,2019,318399
Kazakhstan,KAZ,2020,311322
Kazakhstan,KAZ,2021,300886
Kazakhstan,KAZ,2022,266300
Kosovo,OWID_KOS,2005,0
Kosovo,OWID_KOS,2006,0
Mexico,MEX,1970,84600
Mexico,MEX,1971,83400
Mexico,MEX,1972,84628
Mexico,MEX,1973,71901
Mexico,MEX,1974,137302
Mexico,MEX,1975,154993
Mexico,MEX,1976,175792
Mexico,MEX,1977,175166
Mexico,MEX,1978,173793
Mexico,MEX,1979,162354
Mexico,MEX,1980,144550
Mexico,MEX,1981,126890
Mexico,MEX,1982,127359
Mexico,MEX,1983,174991
Mexico,MEX,1984,167034
Mexico,MEX,1985,175354
Mexico,MEX,1986,173700
Mexico,MEX,1987,184755
Mexico,MEX,1988,192529
Mexico,MEX,1989,193279
Mexico,MEX,1990,199295
Mexico,MEX,1991,189082
Mexico,MEX,1992,151615
Mexico,MEX,1993,209931
Mexico,MEX,1994,209200
Mexico,MEX,1995,222748
Mexico,MEX,1996,221736
Mexico,MEX,1997,231444
Mexico,MEX,1998,230325
Mexico,MEX,1999,218913
Mexico,MEX,2000,235073
Mexico,MEX,2001,303810
Mexico,MEX,2002,302122
Mexico,MEX,2003,320364
Mexico,MEX,2004,316834
Mexico,MEX,2005,327205
Mexico,MEX,2006,284700
Mexico,MEX,2007,319900
Mexico,MEX,2008,320600
Mexico,MEX,2009,335400
Mexico,MEX,2010,327772
Mexico,MEX,2011,322116
Mexico,MEX,2012,323569
Mexico,MEX,2013,322781
Mexico,MEX,2014,320923
Mexico,MEX,2015,326642
Mexico,MEX,2016,321159
Mexico,MEX,2017,327003
Mexico,MEX,2018,336378
Mexico,MEX,2019,388588
Mexico,MEX,2020,363383
Mexico,MEX,2021,357038
Mexico,MEX,2022,337000
Namibia,NAM,1999,0
Namibia,NAM,2000,0
Namibia,NAM,2001,0
Namibia,NAM,2002,0
Namibia,NAM,2003,47436
Namibia,NAM,2004,120533
Namibia,NAM,2005,132818
Namibia,NAM,2006,129897
Namibia,NAM,2007,150100
Namibia,NAM,2008,145400
Namibia,NAM,2009,153815
Namibia,NAM,2010,151688
Namibia,NAM,2011,145639
Namibia,NAM,2012,145639
Namibia,NAM,2013,128291
Namibia,NAM,2014,118665
Namibia,NAM,2015,71818
Namibia,NAM,2016,90739
Namibia,NAM,2017,83768
Namibia,NAM,2018,67122
Namibia,NAM,2019,64985
Namibia,NAM,2020,16206
Namibia,NAM,2021,0
Namibia,NAM,2022,0
Netherlands,NLD,1970,46700
Netherlands,NLD,1971,41400
Netherlands,NLD,1972,48300
Netherlands,NLD,1973,30500
Netherlands,NLD,1974,78200
Netherlands,NLD,1975,116000
Netherlands,NLD,1976,123200
Netherlands,NLD,1977,109398
Netherlands,NLD,1978,135399
Netherlands,NLD,1979,153982
Netherlands,NLD,1980,169539
Netherlands,NLD,1981,177363
Netherlands,NLD,1982,186022
Netherlands,NLD,1983,187519
Netherlands,NLD,1984,209657
Netherlands,NLD,1985,201712
Netherlands,NLD,1986,196156
Netherlands,NLD,1987,207111
Netherlands,NLD,1988,211019
Netherlands,NLD,1989,202962
Netherlands,NLD,1990,208537
Netherlands,NLD,1991,211082
Netherlands,NLD,1992,218410
Netherlands,NLD,1993,206000
Netherlands,NLD,1994,212600
Netherlands,NLD,1995,206300
Netherlands,NLD,1996,207100
Netherlands,NLD,1997,208646
Netherlands,NLD,1998,218731
Netherlands,NLD,1999,222552
Netherlands,NLD,2000,216768
