Entity,Code,Year,reserves|Zinc|Mine|tonnes
Australia,AUS,2023,64000000
Canada,CAN,2022,1800000
China,CHN,2022,31000000
China,CHN,2023,44000000
India,IND,2022,9600000
India,IND,2023,7400000
Kazakhstan,KAZ,2022,7400000
Kazakhstan,KAZ,2023,6700000
Mexico,MEX,2022,12000000
Mexico,MEX,2023,14000000
Other,,2022,30000000
Other,,2023,25000000
Peru,PER,2022,17000000
Peru,PER,2023,21000000
Russia,RUS,2022,22000000
Russia,RUS,2023,25000000
South Africa,ZAF,2023,6200000
Sweden,SWE,2022,4000000
Sweden,SWE,2023,4100000
United States,USA,2022,7300000
United States,USA,2023,6600000
World,OWID_WRL,2022,210000000
World,OWID_WRL,2023,220000000
