Entity,Code,Year,production|Manganese|Mine|tonnes
Australia,AUS,2020,3330000
Australia,AUS,2021,3260000
Australia,AUS,2022,3040000
Australia,AUS,2023,3000000
Brazil,BRA,2020,494000
Brazil,BRA,2021,542000
Brazil,BRA,2022,624000
Brazil,BRA,2023,620000
China,CHN,2020,1340000
China,CHN,2021,991000
China,CHN,2022,743000
China,CHN,2023,740000
Cote d'Ivoire,CIV,2020,525000
Cote d'Ivoire,CIV,2021,362000
Cote d'Ivoire,CIV,2022,394000
Cote d'Ivoire,CIV,2023,390000
Gabon,GAB,2020,3310000
Gabon,GAB,2021,4340000
Gabon,GAB,2022,4670000
Gabon,GAB,2023,4600000
Georgia,GEO,2020,186000
Georgia,GEO,2021,224000
Georgia,GEO,2022,166000
Georgia,GEO,2023,160000
Ghana,GHA,2020,637000
Ghana,GHA,2021,940000
Ghana,GHA,2022,844000
Ghana,GHA,2023,840000
India,IND,2020,632000
India,IND,2021,453000
India,IND,2022,721000
India,IND,2023,720000
Kazakhstan,KAZ,2020,158000
Kazakhstan,KAZ,2021,90000
Kazakhstan,KAZ,2022,129000
Kazakhstan,KAZ,2023,130000
Malaysia,MYS,2020,347000
Malaysia,MYS,2021,356000
Malaysia,MYS,2022,247000
Malaysia,MYS,2023,250000
Mexico,MEX,2020,198000
Mexico,MEX,2021,226000
Mexico,MEX,2022,221000
Mexico,MEX,2023,220000
Myanmar,MMR,2020,254000
Myanmar,MMR,2021,206000
Myanmar,MMR,2022,207000
Myanmar,MMR,2023,210000
Other,,2020,260000
Other,,2021,150000
Other,,2022,325000
Other,,2023,330000
South Africa,ZAF,2020,6500000
South Africa,ZAF,2021,7200000
South Africa,ZAF,2022,7300000
South Africa,ZAF,2023,7200000
Ukraine,UKR,2020,578000
Ukraine,UKR,2021,600000
Ukraine,UKR,2022,323000
Ukraine,UKR,2023,320000
United States,USA,1900,28000
United States,USA,1901,28000
United States,USA,1902,19000
United States,USA,1903,19000
United States,USA,1904,18000
United States,USA,1905,29000
United States,USA,1906,30000
United States,USA,1907,42000
United States,USA,1908,35000
United States,USA,1909,42000
United States,USA,1910,42000
United States,USA,1911,32000
United States,USA,1912,32000
United States,USA,1913,34000
United States,USA,1914,45000
United States,USA,1915,83000
United States,USA,1916,174000
United States,USA,1917,284000
United States,USA,1918,419000
United States,USA,1919,127000
United States,USA,1920,210000
United States,USA,1921,21000
United States,USA,1922,135000
United States,USA,1923,208000
United States,USA,1924,171000
United States,USA,1925,230000
United States,USA,1926,212000
United States,USA,1927,188000
United States,USA,1928,134000
United States,USA,1929,158000
United States,USA,1930,122000
United States,USA,1931,69000
United States,USA,1932,18000
United States,USA,1933,24000
United States,USA,1934,45000
United States,USA,1935,89000
United States,USA,1936,123000
United States,USA,1937,164000
United States,USA,1938,47000
United States,USA,1939,139000
United States,USA,1940,188000
United States,USA,1941,210000
United States,USA,1942,285000
United States,USA,1943,294000
United States,USA,1944,287000
United States,USA,1945,236000
United States,USA,1946,187000
United States,USA,1947,184000
United States,USA,1948,200000
United States,USA,1949,154000
United States,USA,1950,171000
United States,USA,1951,224000
United States,USA,1952,190000
United States,USA,1953,244000
United States,USA,1954,161000
United States,USA,1955,239000
United States,USA,1956,224000
United States,USA,1957,233000
United States,USA,1958,178000
United States,USA,1959,139000
United States,USA,1960,106000
United States,USA,1961,70800
United States,USA,1962,66200
United States,USA,1963,85300
United States,USA,1964,71700
United States,USA,1965,75300
United States,USA,1966,79800
United States,USA,1967,66200
United States,USA,1968,43500
United States,USA,1969,84400
United States,USA,1970,59900
United States,USA,1971,34500
United States,USA,1972,26300
United States,USA,1973,28100
United States,USA,1974,31800
United States,USA,1975,17200
United States,USA,1976,28100
United States,USA,1977,24500
United States,USA,1978,34500
United States,USA,1979,28100
United States,USA,1980,20900
United States,USA,1981,21800
United States,USA,1982,3630
United States,USA,1983,3630
United States,USA,1984,9980
United States,USA,1985,1810
United States,USA,1986,907.18
United States,USA,1987,1810
United States,USA,1988,907.18
United States,USA,1989,907.18
United States,USA,1990,907.18
United States,USA,1991,0
United States,USA,1992,0
United States,USA,1993,0
United States,USA,1994,0
United States,USA,1995,0
United States,USA,1996,0
United States,USA,1997,0
United States,USA,1998,0
United States,USA,1999,0
United States,USA,2000,0
United States,USA,2001,0
United States,USA,2002,0
United States,USA,2003,0
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
United States,USA,2008,0
United States,USA,2009,0
United States,USA,2010,0
United States,USA,2011,0
United States,USA,2012,0
United States,USA,2013,0
United States,USA,2014,0
United States,USA,2015,0
United States,USA,2016,0
United States,USA,2017,0
United States,USA,2018,0
United States,USA,2019,0
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
Vietnam,VNM,2020,121000
Vietnam,VNM,2021,146000
Vietnam,VNM,2022,155000
Vietnam,VNM,2023,160000
World,OWID_WRL,1900,592000
World,OWID_WRL,1901,429000
World,OWID_WRL,1902,441000
World,OWID_WRL,1903,411000
World,OWID_WRL,1904,416000
World,OWID_WRL,1905,481000
World,OWID_WRL,1906,868000
World,OWID_WRL,1907,1080000
World,OWID_WRL,1908,641000
World,OWID_WRL,1909,811000
World,OWID_WRL,1910,888000
World,OWID_WRL,1911,719000
World,OWID_WRL,1912,856000
World,OWID_WRL,1913,1040000
World,OWID_WRL,1914,840000
World,OWID_WRL,1915,636000
World,OWID_WRL,1916,850000
World,OWID_WRL,1917,864000
World,OWID_WRL,1918,934000
World,OWID_WRL,1919,550000
World,OWID_WRL,1920,754000
World,OWID_WRL,1921,523000
World,OWID_WRL,1922,535000
World,OWID_WRL,1923,731000
World,OWID_WRL,1924,919000
World,OWID_WRL,1925,1170000
World,OWID_WRL,1926,1370000
World,OWID_WRL,1927,1430000
World,OWID_WRL,1928,1280000
World,OWID_WRL,1929,1580000
World,OWID_WRL,1930,1590000
World,OWID_WRL,1931,982000
World,OWID_WRL,1932,559000
World,OWID_WRL,1933,779000
World,OWID_WRL,1934,1310000
World,OWID_WRL,1935,1800000
World,OWID_WRL,1936,2340000
World,OWID_WRL,1937,2740000
World,OWID_WRL,1938,2380000
World,OWID_WRL,1939,1110000
World,OWID_WRL,1940,2540000
World,OWID_WRL,1941,2450000
World,OWID_WRL,1942,2290000
World,OWID_WRL,1943,1800000
World,OWID_WRL,1944,1270000
World,OWID_WRL,1945,1900000
World,OWID_WRL,1946,1650000
World,OWID_WRL,1947,1750000
World,OWID_WRL,1948,1830000
World,OWID_WRL,1949,2160000
World,OWID_WRL,1950,2530000
World,OWID_WRL,1951,3180000
World,OWID_WRL,1952,4440000
World,OWID_WRL,1953,4940000
World,OWID_WRL,1954,4500000
World,OWID_WRL,1955,4870000
World,OWID_WRL,1956,5310000
World,OWID_WRL,1957,5820000
World,OWID_WRL,1958,5580000
World,OWID_WRL,1959,5830000
World,OWID_WRL,1960,6120000
World,OWID_WRL,1961,6110000
World,OWID_WRL,1962,6400000
World,OWID_WRL,1963,6630000
World,OWID_WRL,1964,7240000
World,OWID_WRL,1965,7980000
World,OWID_WRL,1966,8150000
World,OWID_WRL,1967,7510000
World,OWID_WRL,1968,7800000
World,OWID_WRL,1969,8420000
World,OWID_WRL,1970,8200000
World,OWID_WRL,1971,9070000
World,OWID_WRL,1972,9080000
World,OWID_WRL,1973,9740000
World,OWID_WRL,1974,9270000
World,OWID_WRL,1975,9810000
World,OWID_WRL,1976,10000000
World,OWID_WRL,1977,8690000
World,OWID_WRL,1978,8690000
World,OWID_WRL,1979,9800000
World,OWID_WRL,1980,9670000
World,OWID_WRL,1981,8400000
World,OWID_WRL,1982,8580000
World,OWID_WRL,1983,7780000
World,OWID_WRL,1984,8600000
World,OWID_WRL,1985,8690000
World,OWID_WRL,1986,8830000
World,OWID_WRL,1987,8340000
World,OWID_WRL,1988,8650000
World,OWID_WRL,1989,9250000
World,OWID_WRL,1990,9080000
World,OWID_WRL,1991,7600000
World,OWID_WRL,1992,7260000
World,OWID_WRL,1993,7070000
World,OWID_WRL,1994,6530000
World,OWID_WRL,1995,7970000
World,OWID_WRL,1996,8180000
World,OWID_WRL,1997,7520000
World,OWID_WRL,1998,7330000
World,OWID_WRL,1999,6390000
World,OWID_WRL,2000,6960000
World,OWID_WRL,2001,7580000
World,OWID_WRL,2002,7800000
World,OWID_WRL,2003,8790000
World,OWID_WRL,2004,9900000
World,OWID_WRL,2005,11000000
World,OWID_WRL,2006,11500000
World,OWID_WRL,2007,12000000
World,OWID_WRL,2008,13400000
World,OWID_WRL,2009,11300000
World,OWID_WRL,2010,14700000
World,OWID_WRL,2011,15400000
