Entity,Code,Year,production|Magnesium metal|Smelter|tonnes
Norway,NOR,1976,38808
Norway,NOR,1977,38165
Norway,NOR,1978,39160
Norway,NOR,1979,44177
Norway,NOR,1980,44352
Norway,NOR,1981,47455
Norway,NOR,1982,35922
Norway,NOR,1983,29844
Norway,NOR,1984,49301
Norway,NOR,1985,54704
Norway,NOR,1986,56864
Norway,NOR,1987,56853
Norway,NOR,1988,50317
Norway,NOR,1989,52872
Norway,NOR,1990,48222
Norway,NOR,1991,44300
Norway,NOR,1992,30400
Norway,NOR,1993,27300
Norway,NOR,1994,27600
Norway,NOR,1995,32000
Norway,NOR,1996,37790
Norway,NOR,1997,34200
Norway,NOR,1998,35400
Norway,NOR,1999,40800
Norway,NOR,2000,41400
Norway,NOR,2001,40700
Norway,NOR,2002,3100
Oman,OMN,2009,0
Oman,OMN,2010,0
Russia,RUS,1992,40000
Russia,RUS,1993,30000
Russia,RUS,1994,35400
Russia,RUS,1995,37500
Russia,RUS,1996,31500
Russia,RUS,1997,33000
Russia,RUS,1998,34100
Russia,RUS,1999,35200
Russia,RUS,2000,35500
Russia,RUS,2001,35000
Russia,RUS,2002,35000
Russia,RUS,2003,30000
Russia,RUS,2004,35000
Russia,RUS,2005,15518
Russia,RUS,2006,20253
Russia,RUS,2007,17709
Russia,RUS,2009,12120
Russia,RUS,2010,15461
Russia,RUS,2011,13517
Russia,RUS,2012,13798
Russia,RUS,2013,13970
Russia,RUS,2014,13744
Russia,RUS,2015,12460
Russia,RUS,2016,14346
Russia,RUS,2017,15593
Russia,RUS,2018,15753
Russia,RUS,2019,15336
Russia,RUS,2020,48000
Russia,RUS,2022,21000
Russia,RUS,2023,20000
Serbia and Montenegro,OWID_SRM,1992,4055
Serbia and Montenegro,OWID_SRM,1993,0
Serbia and Montenegro,OWID_SRM,1994,0
Serbia and Montenegro,OWID_SRM,1995,2560
Serbia and Montenegro,OWID_SRM,1996,3090
Serbia and Montenegro,OWID_SRM,1997,3942
Serbia and Montenegro,OWID_SRM,1998,3965
Serbia and Montenegro,OWID_SRM,1999,1203
Serbia and Montenegro,OWID_SRM,2000,1270
Serbia and Montenegro,OWID_SRM,2001,203
Serbia and Montenegro,OWID_SRM,2002,0
Serbia and Montenegro,OWID_SRM,2003,500
Serbia and Montenegro,OWID_SRM,2004,500
Serbia and Montenegro,OWID_SRM,2005,500
South Korea,KOR,2009,0
South Korea,KOR,2010,0
South Korea,KOR,2011,0
South Korea,KOR,2012,2500
South Korea,KOR,2013,7500
South Korea,KOR,2014,3000
South Korea,KOR,2015,3000
South Korea,KOR,2016,3000
South Korea,KOR,2017,3000
South Korea,KOR,2018,110
South Korea,KOR,2019,0
South Korea,KOR,2020,0
South Korea,KOR,2022,0
Turkey,TUR,2015,100
Turkey,TUR,2016,3750
Turkey,TUR,2017,4000
Turkey,TUR,2018,4500
Turkey,TUR,2019,4500
Turkey,TUR,2020,12000
Turkey,TUR,2022,14000
Turkey,TUR,2023,15000
USSR,OWID_USS,1974,60000
USSR,OWID_USS,1975,60000
USSR,OWID_USS,1976,63000
USSR,OWID_USS,1977,65000
USSR,OWID_USS,1978,70000
USSR,OWID_USS,1979,72000
USSR,OWID_USS,1980,75000
USSR,OWID_USS,1981,76000
USSR,OWID_USS,1982,77000
USSR,OWID_USS,1983,80000
USSR,OWID_USS,1984,85000
USSR,OWID_USS,1985,85000
USSR,OWID_USS,1986,86000
USSR,OWID_USS,1987,86000
USSR,OWID_USS,1988,90000
USSR,OWID_USS,1989,91000
USSR,OWID_USS,1990,88000
USSR,OWID_USS,1991,80000
Ukraine,UKR,1992,15000
Ukraine,UKR,1993,14900
Ukraine,UKR,1994,12000
Ukraine,UKR,1995,13000
Ukraine,UKR,1996,12896
Ukraine,UKR,1997,7654
Ukraine,UKR,1998,5040
Ukraine,UKR,1999,0
Ukraine,UKR,2000,0
Ukraine,UKR,2001,0
Ukraine,UKR,2002,0
Ukraine,UKR,2003,0
Ukraine,UKR,2004,0
Ukraine,UKR,2005,2900
Ukraine,UKR,2006,2000
Ukraine,UKR,2007,2000
Ukraine,UKR,2009,2000
Ukraine,UKR,2010,2000
Ukraine,UKR,2011,2000
Ukraine,UKR,2020,6000
Ukraine,UKR,2022,2000
Ukraine,UKR,2023,0
United States,USA,1974,123000
United States,USA,1975,109000
United States,USA,1976,108823
United States,USA,1977,114267
United States,USA,1978,135591
United States,USA,1979,147385
United States,USA,1980,153747
United States,USA,1981,139509
United States,USA,1982,92712
United States,USA,1983,104717
United States,USA,1984,144430
United States,USA,1985,135728
United States,USA,1986,125639
United States,USA,1987,124396
United States,USA,1988,141983
United States,USA,1989,152066
United States,USA,1990,139333
United States,USA,1991,131288
United States,USA,1992,136947
United States,USA,1993,132144
United States,USA,1994,128475
United States,USA,1995,142100
United States,USA,1996,133100
United States,USA,1997,124800
United States,USA,1998,106100
United States,USA,1999,75000
United States,USA,2000,94000
United States,USA,2001,50000
United States,USA,2002,20000
United States,USA,2003,10000
United States,USA,2004,30000
United States,USA,2005,40000
United States,USA,2006,40000
United States,USA,2007,40000
United States,USA,2009,40000
United States,USA,2010,40000
United States,USA,2011,40000
United States,USA,2012,40000
United States,USA,2013,40000
United States,USA,2014,40000
United States,USA,2015,40000
United States,USA,2016,40000
United States,USA,2017,30000
United States,USA,2018,10000
United States,USA,2019,11000
United States,USA,2020,5500
United States,USA,2022,500
World,OWID_WRL,1937,19600
World,OWID_WRL,1938,23900
World,OWID_WRL,1939,29400
World,OWID_WRL,1940,37800
World,OWID_WRL,1941,59800
World,OWID_WRL,1942,105000
World,OWID_WRL,1943,238000
World,OWID_WRL,1944,218000
World,OWID_WRL,1945,62000
World,OWID_WRL,1946,24000
World,OWID_WRL,1947,32000
World,OWID_WRL,1948,31000
World,OWID_WRL,1949,34000
World,OWID_WRL,1950,45600
World,OWID_WRL,1951,82600
World,OWID_WRL,1952,150000
World,OWID_WRL,1953,153000
World,OWID_WRL,1954,119000
World,OWID_WRL,1955,121000
World,OWID_WRL,1956,103000
World,OWID_WRL,1957,117000
World,OWID_WRL,1958,71200
World,OWID_WRL,1959,74700
World,OWID_WRL,1960,92900
World,OWID_WRL,1961,105000
World,OWID_WRL,1962,134000
World,OWID_WRL,1963,143000
World,OWID_WRL,1964,151000
World,OWID_WRL,1965,162000
World,OWID_WRL,1966,163000
World,OWID_WRL,1967,185000
World,OWID_WRL,1968,189000
World,OWID_WRL,1969,198000
World,OWID_WRL,1970,220000
World,OWID_WRL,1971,232000
World,OWID_WRL,1972,234000
World,OWID_WRL,1973,240000
World,OWID_WRL,1975,235000
World,OWID_WRL,1976,249000
World,OWID_WRL,1977,257000
World,OWID_WRL,1978,288000
World,OWID_WRL,1979,307000
World,OWID_WRL,1980,316000
World,OWID_WRL,1981,308000
World,OWID_WRL,1982,254000
World,OWID_WRL,1983,260000
World,OWID_WRL,1984,328000
World,OWID_WRL,1985,325000
World,OWID_WRL,1986,322000
World,OWID_WRL,1987,324000
World,OWID_WRL,1988,334000
World,OWID_WRL,1989,344000
World,OWID_WRL,1990,354000
World,OWID_WRL,1991,342000
World,OWID_WRL,1992,295000
World,OWID_WRL,1993,269000
World,OWID_WRL,1994,282000
World,OWID_WRL,1995,395000
World,OWID_WRL,1996,378000
World,OWID_WRL,1997,384000
World,OWID_WRL,1998,396000
World,OWID_WRL,2000,422000
World,OWID_WRL,2001,420000
World,OWID_WRL,2002,432000
World,OWID_WRL,2003,509000
World,OWID_WRL,2004,595000
World,OWID_WRL,2005,622000
World,OWID_WRL,2006,675000
World,OWID_WRL,2007,751000
World,OWID_WRL,2008,670000
World,OWID_WRL,2009,588000
World,OWID_WRL,2010,765000
World,OWID_WRL,2011,806000
World,OWID_WRL,2012,840000
World,OWID_WRL,2013,910000
World,OWID_WRL,2014,995000
World,OWID_WRL,2015,970000
World,OWID_WRL,2016,993000
World,OWID_WRL,2017,1050000
World,OWID_WRL,2018,985000
World,OWID_WRL,2019,1080000
World,OWID_WRL,2020,1000000
World,OWID_WRL,2021,950000
World,OWID_WRL,2022,1050000
World,OWID_WRL,2023,940000
Yugoslavia,OWID_YGS,1974,0
Yugoslavia,OWID_YGS,1975,0
Yugoslavia,OWID_YGS,1976,0
Yugoslavia,OWID_YGS,1977,0
Yugoslavia,OWID_YGS,1978,0
Yugoslavia,OWID_YGS,1979,500
Yugoslavia,OWID_YGS,1980,2508
Yugoslavia,OWID_YGS,1981,3859
Yugoslavia,OWID_YGS,1982,4216
Yugoslavia,OWID_YGS,1983,4676
Yugoslavia,OWID_YGS,1984,5139
Yugoslavia,OWID_YGS,1985,4918
Yugoslavia,OWID_YGS,1986,4897
Yugoslavia,OWID_YGS,1987,5932
Yugoslavia,OWID_YGS,1988,6176
Yugoslavia,OWID_YGS,1989,6106
Yugoslavia,OWID_YGS,1990,5788
Yugoslavia,OWID_YGS,1991,5360
